Datasets,Score,In OpenVLA?,FInish Modify,How many different task  after modify,Tasks / Categories,#UniqueTasks,Comments,Scenes,#Scenes,#Trajectories,Avg. frames/trajectory,Control frequency,In OXE?,NickName,Language instructions,# Total Cams,# Depth Cams,# First-person Cams,# Third-person Cams,Robot type,Robot Morphology,Tactile sensor?,Objects,Full data structure,Action space,How to modify it to align with our overall objectives?,whether annotation,Venue,How to change the raw data to RDLS format data,How is the dataset collected?,Robot ,,Comments
SPOC,1,FALSE,,,"1.search for a toilet
2.take the bottle with a lot of writing printed on it has a pump top to dispense the contents
3.go to the smallest electronic equipment in the bedroom
4.go to a kitchen utensil that can best be used for making hot water for tea and grasp that kitchen utensil
5.search for a candlestick and clutch that candlestick
6.search for an alarm clock and pick up that alarm clock
7.go to an alarm clock on a bed and grab that alarm clock
8.search for a vessel on a chest of drawers and grab that vessel
9.go to a mug and grab that mug
10.find a wine bottle and grab that wine bottle
11.navigate to 2 pans in the kitchen
12.hold a bowl
13.navigate to 2 foods in the kitchen
14.locate a timepiece that can best be used for waking up in the morning and grasp that timepiece
15.search for a pan and a step ladder, in that order
16.find the orange basketball with black lines and no other markings and pick it up
...
98.find the calendar furthest from the sofa in the livingroom
99.locate a bag on a chest of drawers, take that bag, and place it on a bed
100.grab the saw with a small blade and a red handle",NA,,household environment,1,2333000,76,10,✅,spoc,"1.search for a toilet
2.take the bottle with a lot of writing printed on it has a pump top to dispense the contents
3.go to the smallest electronic equipment in the bedroom
4.go to a kitchen utensil that can best be used for making hot water for tea and grasp that kitchen utensil
5.search for a candlestick and clutch that candlestick
6.search for an alarm clock and pick up that alarm clock
7.go to an alarm clock on a bed and grab that alarm clock
8.search for a vessel on a chest of drawers and grab that vessel
9.go to a mug and grab that mug
10.find a wine bottle and grab that wine bottle
11.navigate to 2 pans in the kitchen
12.hold a bowl
13.navigate to 2 foods in the kitchen
14.locate a timepiece that can best be used for waking up in the morning and grasp that timepiece
15.search for a pan and a step ladder, in that order
16.find the orange basketball with black lines and no other markings and pick it up
...
98.find the calendar furthest from the sofa in the livingroom
99.locate a bag on a chest of drawers, take that bag, and place it on a bed
100.grab the saw with a small blade and a red handle",2,0,0,2,Hello Stretch,single Arm,,object in simualte home environment,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': string,
        'task_target_split': string,
        'task_type': string,
    }),
    'steps': Dataset({
        'action': Tensor(shape=(9,), dtype=float32),
        'discount': Scalar(shape=(), dtype=float32),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_instruction': string,
        'observation': FeaturesDict({
            'an_object_is_in_hand': Scalar(shape=(), dtype=bool),
            'house_index': Scalar(shape=(), dtype=int64),
            'hypothetical_task_success': Scalar(shape=(), dtype=bool),
            'image': Image(shape=(224, 384, 3), dtype=uint8),
            'image_manipulation': Image(shape=(224, 384, 3), dtype=uint8),
            'last_action_is_random': Scalar(shape=(), dtype=bool),
            'last_action_str': string,
            'last_action_success': Scalar(shape=(), dtype=bool),
            'last_agent_location': Tensor(shape=(6,), dtype=float32),
            'manip_object_bbox': Tensor(shape=(10,), dtype=float32),
            'minimum_l2_target_distance': Scalar(shape=(), dtype=float32),
            'minimum_visible_target_alignment': Scalar(shape=(), dtype=float32),
            'nav_object_bbox': Tensor(shape=(10,), dtype=float32),
            'relative_arm_location_metadata': Tensor(shape=(4,), dtype=float32),
            'room_current_seen': Scalar(shape=(), dtype=bool),
            'rooms_seen': Scalar(shape=(), dtype=int64),
            'visible_target_4m_count': Scalar(shape=(), dtype=int64),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",joint position ：but 9 d,"1. totally simulate data
2. simulate data guide real world ",,,,,,,Sim2Real paper!
PlexRoboSuite,1,FALSE,,,"1.Place the loaf of bread into the appropriate compartment.  67
2.Place the milk carton into the appropriate compartment.   67
3.Open the door by pressing down and pulling on the handle.  67
4.Place the red cube on top of the green cube. 67
5.Place the box of cereal into the appropriate compartment. 67
6.Put the loop with the handle onto the peg. 67",6,,table top,5,402,191,20,✅,plex_robosuite,"1.Place the loaf of bread into the appropriate compartment.  67
2.Place the milk carton into the appropriate compartment.   67
3.Open the door by pressing down and pulling on the handle.  67
4.Place the red cube on top of the green cube. 67
5.Place the box of cereal into the appropriate compartment. 67
6.Put the loop with the handle onto the peg. 67",2,0,1,1,Franka Panda,single Arm,,"bread,milk carton,door,handel ,red,cube and so on","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'episode_id': string,
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float64),
        'discount': Scalar(shape=(), dtype=float32),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32),
        'language_instruction': string,
        'observation': FeaturesDict({
            'image': Image(shape=(128, 128, 3), dtype=uint8),
            'state': Tensor(shape=(32,), dtype=float64),
            'wrist_image': Image(shape=(128, 128, 3), dtype=uint8),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF Position,1. good simulate data,,,,,,,
UIUCD3Field,4,FALSE,TRUE,15,dummy instruction,NA,,table top,1,196,70,1,✅,uiuc_d3field,dummy instruction,4,4,0,4,Kinova Gen3,Single Arm,,"utensile,mug,shoe and other things in desk top","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(3,), dtype=float32, description=Robot displacement from last frame),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'depth_1': Image(shape=(360, 640, 1), dtype=uint16, description=camera 1 depth observation.),
            'depth_2': Image(shape=(360, 640, 1), dtype=uint16, description=camera 2 depth observation.),
            'depth_3': Image(shape=(360, 640, 1), dtype=uint16, description=camera 3 depth observation.),
            'depth_4': Image(shape=(360, 640, 1), dtype=uint16, description=camera 4 depth observation.),
            'image_1': Image(shape=(360, 640, 3), dtype=uint8, description=camera 1 RGB observation.),
            'image_2': Image(shape=(360, 640, 3), dtype=uint8, description=camera 2 RGB observation.),
            'image_3': Image(shape=(360, 640, 3), dtype=uint8, description=camera 3 RGB observation.),
            'image_4': Image(shape=(360, 640, 3), dtype=uint8, description=camera 4 RGB observation.),
            'state': Tensor(shape=(4, 4), dtype=float32, description=Robot end-effector state),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,"1. action sapce need to change , now is 3D, we need 7D
2. write the instruction for each episode ",,,,,,,
Austin Mutex,4(need simplify the instructions),FALSE,TRUE,38,"1.
Carefully navigate your gripper to the air fryer's handle.
Confidently seize the handle using your gripper.
Gradually bring the handle toward yourself to access the air fryer.
2.
With care, position your gripper close to the oven tray handle.
Make sure to grip the handle tightly.
Delicately and attentively pull the tray out from the oven.
3.
Kindly get your arm to the topmost drawer handle.
Get a good grip on it, then softly pull to open it.
4.
Gently grip the air fryer handle with your gripper and kindly pull it open by sliding your gripper away from the base.
Gradually bring your gripper in line with the blue bowl and gently capture it, without tightening your grip too much.
Securely place the blue bowl inside the opened air fryer with a steady position.
Liberate your robot's gripper, and withdraw your gripper from the proximity of the air fryer.
...
44.Kindly position your hand close to the oven tray's handle.
Softly yet firmly grasp the handle using your hand.
Slowly and with caution, draw the tray out until it is fully stretched out.",NA,,table top,1,1500,234,20,✅,utaustin_mutex,"1.
Carefully navigate your gripper to the air fryer's handle.
Confidently seize the handle using your gripper.
Gradually bring the handle toward yourself to access the air fryer.
2.
With care, position your gripper close to the oven tray handle.
Make sure to grip the handle tightly.
Delicately and attentively pull the tray out from the oven.
3.
Kindly get your arm to the topmost drawer handle.
Get a good grip on it, then softly pull to open it.
4.
Gently grip the air fryer handle with your gripper and kindly pull it open by sliding your gripper away from the base.
Gradually bring your gripper in line with the blue bowl and gently capture it, without tightening your grip too much.
Securely place the blue bowl inside the opened air fryer with a steady position.
Liberate your robot's gripper, and withdraw your gripper from the proximity of the air fryer.
...
44.Kindly position your hand close to the oven tray's handle.
Softly yet firmly grasp the handle using your hand.
Slowly and with caution, draw the tray out until it is fully stretched out.",2,0,1,1,Franka,Single Arm,,"object on table like book,mug","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [6x end effector delta pose, 1x gripper position]),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(128, 128, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(24,), dtype=float32, description=Robot state, consists of [7x robot joint angles, 1x gripper position, 16x robot end-effector homogeneous matrix].),
            'wrist_image': Image(shape=(128, 128, 3), dtype=uint8, description=Wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,✅perfect,,,,,,,
Berkeley Fanuc Manipulation,4(add some details),TRUE,TRUE,42,"1.Handover the object on the table to the human.
2.Pour the objects in the blue cup to the white cup.
3.Pick up the tape and put it in the box.
4.Pick up the toy duck and put it on the goal location represented using a cross.
5.Stack cups together.
6.Pick up the banana and place it in the drawer.
7.Press the stapler.
8.Pick up the object and place it in the box.
9.Separate the stacked cups..
10.Use the stick to swipe the cup.
11.Open the drawer and place the battery in the drawer.
12.Pick up the cup and put it on the table.
13.Pick up the screw driver and place it in the box.
14.Pick up the battery and place it in the open drawer.
15.Pick up the battery.
16.Push the cup the goal location represented using a cross.
17.Close the drawer.
18.Open the drawer.
19.Close Water kettle .
20.Pick up the brush and sweep the table.
21.open the box
22.Pick up the object under the table and put it on top of the table.
23.Pick up the brush and put it on the table.
24.Close the laptop.
25.Pick up the two cups together then put them down.
26.Push the cube to the goal location represented using a cross.
27.Disassemble the object
28.Pick up the object on the table and place it in the cup.
29.Pick up the level and place it on the cup.
30.Pick up the object on the table then put it down.
31.Pick up the pen and place it in the cup.
32.Disassemble the object.",32,,table top,1,415,150,10,✅,berkeley_fanuc_manipulation,"1.Handover the object on the table to the human.
2.Pour the objects in the blue cup to the white cup.
3.Pick up the tape and put it in the box.
4.Pick up the toy duck and put it on the goal location represented using a cross.
5.Stack cups together.
6.Pick up the banana and place it in the drawer.
7.Press the stapler.
8.Pick up the object and place it in the box.
9.Separate the stacked cups..
10.Use the stick to swipe the cup.
11.Open the drawer and place the battery in the drawer.
12.Pick up the cup and put it on the table.
13.Pick up the screw driver and place it in the box.
14.Pick up the battery and place it in the open drawer.
15.Pick up the battery.
16.Push the cup the goal location represented using a cross.
17.Close the drawer.
18.Open the drawer.
19.Close Water kettle .
20.Pick up the brush and sweep the table.
21.open the box
22.Pick up the object under the table and put it on top of the table.
23.Pick up the brush and put it on the table.
24.Close the laptop.
25.Pick up the two cups together then put them down.
26.Push the cube to the goal location represented using a cross.
27.Disassemble the object
28.Pick up the object on the table and place it in the cup.
29.Pick up the level and place it on the cup.
30.Pick up the object on the table then put it down.
31.Pick up the pen and place it in the cup.
32.Disassemble the object.",2,0,1,1,Fanuc Mate,Single Arm,,table top objects,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(6,), dtype=float32, description=Robot action, consists of [dx, dy, dz] and [droll, dpitch, dyaw]),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'end_effector_state': Tensor(shape=(7,), dtype=float32, description=Robot gripper end effector state, consists of [x, y, z] and 4x quaternion),
            'image': Image(shape=(224, 224, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(13,), dtype=float32, description=Robot joints state, consists of [6x robot joint angles, 1x gripper open status, 6x robot joint velocities].),
            'wrist_image': Image(shape=(224, 224, 3), dtype=uint8, description=Wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,1. action is 6D ，without gripper demention,,,,,,,
CMU Food Manipulation,5,FALSE,TRUE,61,"{grasp , press , release } the {21 kind food}
for example: 
1.Grasp the tomato slice.
2.Release the bread slice.
3.Release the mozzarella slice.
4.Grasp the boiled_carrot slice.
5.Press down on the boiled_bell_pepper slice.
6.Grasp the boiled_pear slice.
7.Grasp the cheddar slice.
8.Press down on the cucumber slice.
9.Grasp the apple slice.
10.Grasp the celery slice.
11.Press down on the onion slice.
12.Grasp the raw_steak slice.
13.Grasp the kiwi slice.
14.Press down on the boiled_pear slice.
15.Press down on the jalapeno slice.
16.Release the cheddar slice.
...
59.Release the onion slice.
60.Grasp the boiled_apple slice.
61.Press down on the boiled_potato slice","only 3 kind:
1. grasp
2. release
3. press",,table top,1,4200,,10,✅,cmu_playing_with_food,"{grasp , press , release } the {21 kind food}
for example: 
1.Grasp the tomato slice.
2.Release the bread slice.
3.Release the mozzarella slice.
4.Grasp the boiled_carrot slice.
5.Press down on the boiled_bell_pepper slice.
6.Grasp the boiled_pear slice.
7.Grasp the cheddar slice.
8.Press down on the cucumber slice.
9.Grasp the apple slice.
10.Grasp the celery slice.
11.Press down on the onion slice.
12.Grasp the raw_steak slice.
13.Grasp the kiwi slice.
14.Press down on the boiled_pear slice.
15.Press down on the jalapeno slice.
16.Release the cheddar slice.
...
59.Release the onion slice.
60.Grasp the boiled_apple slice.
61.Press down on the boiled_potato slice",3,0,2,1,Franka,Single Arm,,21 unique food items with varying slices and properties,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(8,), dtype=float32, description=""Robot action, consists of [3x end-effector position, 4x end-effector quaternion, 1x gripper open/close].""),
        'discount': Scalar(shape=(), dtype=float32, description=""Discount if provided, default to 1.""),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=""Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5""),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(480, 640, 3), dtype=uint8, description=""Main camera RGB observation.""),
            'state': Tensor(shape=(6,), dtype=float32, description=""Robot state, consists of [6x end-effector force].""),
            'finger_vision_1': Image(shape=(480, 640, 3), dtype=uint8, description=""Finger Vision 1 RGB observation.""),
            'finger_vision_2': Image(shape=(480, 640, 3), dtype=uint8, description=""Finger Vision 2 RGB observation.""),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=""Reward if provided, 1 on final step for demos.""),
    }),
})",EEF Position,"1. the action here is 8D, 3x end-effector position, 4x end-effector quaternion, 1x gripper open/close].   quaternion need to change to 3D delta rotation",,,,,,,
CMU Play Fusion,5,FALSE,TRUE,35,"some example:
1.pick pot and place in sink
2.pick spoon and place in red cup
3.open grill, then pick pineapple and place insid grill
4.pick pot and place on wooden hanger
5.open pot, then pick pineapple and place insid pot
6.open oven, then pick chicken and place insid oven
7.pick yellow cup and place in dish rack
8.pick banana and place in blue plate
9.pick knife and place in blue plate
10.pick knife and place in red cup
11.pick knife and place in pink bowl
12.pick radish and place in pink bowl
13.pick radish and place in blue plate
14.pick banana and place in pink bowl
15.open pot, then pick bread and place insid pot
16.pick yellow bowl and place in sink
17.open grill, then pick carrot and place insid grill
18.open oven, then pick carrot and place insid oven
19.pick radish and place in red cup
20.pick yellow bowl and place on wooden hanger
21.pick yellow bowl and place in dish rack
22.open oven, then pick steak and place insid oven
23.pick orange cup and place on wooden hanger
24.open oven, then pick pineapple and place insid oven
25.pick yellow cup and place in sink
26.pick orange cup and place in sink
27.pick spoon and place in pink bowl
28.open grill, then pick chicken and place insid grill
29.pick yellow cup and place on wooden hanger
30.open pot, then pick carrot and place insid pot
31.pick carrot and place in blue plate
32.open pot, then pick chicken and place insid pot
33.pick pot and place in dish rack
34.pick orange cup and place in dish rack
35.open oven, then pick bread and place insid oven
","mainly 3 task :
pick 
open
place",,"table top,kitchen",7,576,394,5,✅,cmu_play_fusion,"some example:
1.pick pot and place in sink
2.pick spoon and place in red cup
3.open grill, then pick pineapple and place insid grill
4.pick pot and place on wooden hanger
5.open pot, then pick pineapple and place insid pot
6.open oven, then pick chicken and place insid oven
7.pick yellow cup and place in dish rack
8.pick banana and place in blue plate
9.pick knife and place in blue plate
10.pick knife and place in red cup
11.pick knife and place in pink bowl
12.pick radish and place in pink bowl
13.pick radish and place in blue plate
14.pick banana and place in pink bowl
15.open pot, then pick bread and place insid pot
16.pick yellow bowl and place in sink
17.open grill, then pick carrot and place insid grill
18.open oven, then pick carrot and place insid oven
19.pick radish and place in red cup
20.pick yellow bowl and place on wooden hanger
21.pick yellow bowl and place in dish rack
22.open oven, then pick steak and place insid oven
23.pick orange cup and place on wooden hanger
24.open oven, then pick pineapple and place insid oven
25.pick yellow cup and place in sink
26.pick orange cup and place in sink
27.pick spoon and place in pink bowl
28.open grill, then pick chicken and place insid grill
29.pick yellow cup and place on wooden hanger
30.open pot, then pick carrot and place insid pot
31.pick carrot and place in blue plate
32.open pot, then pick chicken and place insid pot
33.pick pot and place in dish rack
34.pick orange cup and place in dish rack
35.open oven, then pick bread and place insid oven
",1,0,0,0,Franka,Single Arm,,table top objects,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(9,), dtype=float32, description=Robot action, consists of [7x delta eef (pos + quat), 1x gripper open/close (binary), 1x terminate episode].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(128, 128, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(8,), dtype=float32, description=Robot state, consists of [7x robot joint angles, 1x gripper position.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,"1. action space need to modify 
2. only third-person vedio , which need to consider",,CoRL2023,,,,,
CMU Stretch,5,TRUE,TRUE,5,"only 5 instruction
1.lift open green garbage can lid
2.open door
3.open drawer
4.pull open a dishwasher
5.lift up a lid from the pot",5,,Kitchen(also toy kitchen),1,135,185,10,✅,cmu_stretch,"only 5 instruction
1.lift open green garbage can lid
2.open door
3.open drawer
4.pull open a dishwasher
5.lift up a lid from the pot",1,0,1,0,Hello Stretch,Mobile Manipulator,,"only 5 object：
1.green garbage can lid
2.door
3.drawer
4. dishwasher
5.lid and pot","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(8,), dtype=float32, description=Robot action, consists of [3x ee pos, 3x ee rot 1x gripper binary action, 1x terminate episode].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(128, 128, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(4,), dtype=float32, description=Robot state, consists of [3x robot joint angles/ee pos, 1x gripper position].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,"1. action space : only aciton[:8] , first 7 demention is used
2. fine annotation  wihtin the same task
3. many trajectory are failed , need to filter",,,,,,,
RECON,1,FALSE,,,"only 1 :
Navigate to the goal.",1,,outdoors,1,11830,51,3,✅,berkeley_gnm_recon,"only 1 :
Navigate to the goal.",1,0,1,0,Jackal,Wheeled Robot,,navigation task without objects,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(2,), dtype=float64, description=Robot action, consists of 2x position),
        'action_angle': Tensor(shape=(3,), dtype=float64, description=Robot action, consists of 2x position, 1x yaw),
        'discount': Scalar(shape=(), dtype=float64, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(120, 160, 3), dtype=uint8, description=Main camera RGB observation.),
            'position': Tensor(shape=(2,), dtype=float64, description=Robot position),
            'state': Tensor(shape=(3,), dtype=float64, description=Robot state, consists of [2x position, 1x yaw]),
            'yaw': Tensor(shape=(1,), dtype=float64, description=Robot yaw),
        }),
        'reward': Scalar(shape=(), dtype=float64, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF velocity,navigation,,CORL2021,,,,,
CoryHall,1,FALSE,,,"only 1 :
Navigate to the goal.",1,,hallways,1,7331,20,5,✅,berkeley_gnm_cory_hall,"only 1 :
Navigate to the goal.",1,0,1,0,RC Car,Wheeled Robot,,navigation task without objects,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(2,), dtype=float64, description=Robot action, consists of 2x position),
        'action_angle': Tensor(shape=(3,), dtype=float64, description=Robot action, consists of 2x position, 1x yaw),
        'discount': Scalar(shape=(), dtype=float64, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(64, 85, 3), dtype=uint8, description=Main camera RGB observation.),
            'position': Tensor(shape=(2,), dtype=float64, description=Robot position),
            'state': Tensor(shape=(3,), dtype=float64, description=Robot state, consists of [2x position, 1x yaw]),
            'yaw': Tensor(shape=(1,), dtype=float64, description=Robot yaw),
        }),
        'reward': Scalar(shape=(), dtype=float64, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF velocity,navigation,,,,,,,
SACSoN,1,FALSE,,,"only 1 :
Navigate to the goal.",1,,hallways,1,2995,85,10,✅,berkeley_gnm_sac_son,"only 1 :
Navigate to the goal.",1,0,1,0,TurtleBot 2,Wheeled Robot,,navigation task without objects,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(2,), dtype=float64, description=Robot action, consists of 2x position),
        'action_angle': Tensor(shape=(3,), dtype=float64, description=Robot action, consists of 2x position, 1x yaw),
        'discount': Scalar(shape=(), dtype=float64, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(120, 160, 3), dtype=uint8, description=Main camera RGB observation.),
            'position': Tensor(shape=(2,), dtype=float64, description=Robot position),
            'state': Tensor(shape=(3,), dtype=float64, description=Robot state, consists of [2x position, 1x yaw]),
            'yaw': Tensor(shape=(1,), dtype=float64, description=Robot yaw),
        }),
        'reward': Scalar(shape=(), dtype=float64, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,navigation,,,,,,,
RoboVQA,1,FALSE,,,dummy instruction,dummy instruction,,"table top,kitchen",1,3331523,TODO,10,✅,robot_vqa,dummy,1,0,0,1,Google Robot,"3 embodiments: single-armed robot, single-armed human, single-armed human using grasping tools",,NA,"FeaturesDict({
    'timestamp_start': Tensor(shape=(), dtype=float32, description=""Start timestamp of the episode""),
    'timestamp_end': Tensor(shape=(), dtype=float32, description=""End timestamp of the episode""),
    'task_type': Tensor(shape=(), dtype=string, description=""Please see task type in https://g3doc.corp.google.com/experimental/robotics/grounded_dialog/data/dialog/synthetic_dialog/vqa/README.md?cl=head""),
    'timestamps': Sequence(
        Tensor(shape=(), dtype=float32, description=""Timestamps of the images""),
        length=-1
    ),
    'steps': Dataset({
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'raw_text_question': Tensor(shape=(), dtype=string, description=""Robot task question""),
            'raw_text_answer': Tensor(shape=(), dtype=string, description=""Robot task answer""),
            'images': Sequence(
                Image(shape=(288, 288, 3), dtype=uint8, encodingFormat=""jpeg""),
                length=-1
            ),
        }),
    }),
})",EEF Position,"image information is wrong , need to process in raw data",,,,,,,
Robonet,"2
（可以改出区别，但任务本身没什么质量）",FALSE,,,"NM (not mentioned)
fetch, pull, push, move .etc
mainly for moving",10,,Table Top,1,"82,775",30,1,✅,robo_net,Interact with the objects in the bin,3,0,0,3,"Sawyer (68k), Baxter (18k), WidowX (5k),  Franka (7.9k),  Kuka (1.8k),  Fetch (5k),  GoogleRobot (56k)",Single Arm,,household objects,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
        'robot': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(5,), dtype=float32),
        'discount': Scalar(shape=(), dtype=float32),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(240, 320, 3), dtype=uint8),
            'image1': Image(shape=(240, 320, 3), dtype=uint8),
            'image2': Image(shape=(240, 320, 3), dtype=uint8),
            'state': Tensor(shape=(5,), dtype=float32),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})","EEF Position
delta pose 5(delta x, delta y, delta z, delta theta, gripper)",,,CoRL 2019,,scripts,"Sawyer , Baxter , WidowX , Franka , Kuka , Fetch , GoogleRobot","Gripper: Weiss Robotics WSG-50, Robotiq,  WidowX, Baxter,  Franka, Kuka",bad dataset
