Datasets,NickName,Score,In OpenVLA?,FInish Modify,need modify,other view,fully download,whether FPS is proper?,AI/human,finish,#Trajectories,fully upload to AWS,verison,download link,Language instructions,In OXE?,How to modify it to align with our overall objectives?,Tasks / Categories,Comments,#Scenes,Avg. frames/trajectory,Control frequency,# Total Cams,# Depth Cams,# First-person Cams,# Third-person Cams,Robot type,Robot Morphology,Tactile sensor?,Objects,Full data structure,Action space,whether annotation,Venue,How to change the raw data to RDLS format data,How is the dataset collected?,Robot ,,Comments,Real or Not?,Granularity,Pixel Quality,Size of Dataset
Roboturk,roboturk,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,ai,FALSE,"1,796",TRUE,0.1.0,https://roboturk.stanford.edu/dataset_real.html,"Templated
1. object search
2. create tower
3. layout laundry",✅,Adding visual/process details for tasks,"1. object search
2. create tower
3. layout laundry",,1,88,10,1,0,0,1,Sawyer,Single Arm,,"cloth, cups, toys","FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'gripper_closedness_action': Tensor(shape=(1,), dtype=float32),
            'rotation_delta': Tensor(shape=(3,), dtype=float32),
            'terminate_episode': float32,
            'world_vector': Tensor(shape=(3,), dtype=float32),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'front_rgb': Image(shape=(480, 640, 3), dtype=uint8),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF Position,,,,Human VR,,,"1. It seems that the original RGB FPS=1, while the control freq=10",,,,
NYU Franka Play,nyu_franka_play_dataset_converted_externally_to_rlds,2,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,human,FALSE,365,TRUE,0.1.0,https://play-to-policy.github.io/,"Templated
- play with the kitchen",✅,"1. A lot of details can be added, since the palying process has many differences for different trajectoies",play with the kitchen,,1,86,3,2,2,0,2,Franka,Single Arm,,"cabinet, pot, drawer","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(15,), dtype=float32, description=Robot action, consists of [7x joint velocities, 3x EE delta xyz, 3x EE delta rpy, 1x gripper position, 1x terminate episode].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'depth': Tensor(shape=(128, 128, 1), dtype=int32, description=Right camera depth observation.),
            'depth_additional_view': Tensor(shape=(128, 128, 1), dtype=int32, description=Left camera depth observation.),
            'image': Image(shape=(128, 128, 3), dtype=uint8, description=Right camera RGB observation.),
            'image_additional_view': Image(shape=(128, 128, 3), dtype=uint8, description=Left camera RGB observation.),
            'state': Tensor(shape=(13,), dtype=float32, description=Robot state, consists of [7x robot joint angles, 3x EE xyz, 3x EE rpy.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF velocity,,,,Human VR,,,,,,,
Berkeley RPT Data,berkeley_rpt_converted_externally_to_rlds,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,ai,FALSE,908,TRUE,0.1.0,https://arxiv.org/abs/2306.10007,"destack cube
stack cube
pick an object from the bin
pick yellow cube",✅,✅,"pick an object from the bin
pick yellow cube 
destack cube
stack cube",,1,459,30,3,0,1,2,franka,Single Arm,,K cubes,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(8,), dtype=float32, description=Robot action, consists of [7 delta joint pos,1x gripper binary state].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'gripper': Scalar(shape=(), dtype=bool, description=Binary gripper state (1 - closed, 0 - open)),
            'hand_image': Image(shape=(480, 640, 3), dtype=uint8, description=Hand camera RGB observation.),
            'joint_pos': Tensor(shape=(7,), dtype=float32, description=xArm joint positions (7 DoF).),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",Joint position (7 joint + 1 gripper),,CoRL 2023,,scripts,,,,,,,
LSMO Dataset,,0,FALSE,FALSE,,,,,,,50,,,,"avoid obstacle and reach the blue pen
avoid obstacle and reach the scissors",✅,modify action,"avoid obstacle and reach the blue pen
avoid obstacle and reach the scissors",,1,239,10,1,0,0,1,Cobotta,Single Arm,,"obstacle
pen
scissors","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [3x endeffector position, 3x euler angles,1x gripper action].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(120, 120, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(13,), dtype=float32, description=Robot state, consists of [3x endeffector position, 3x euler angles,6x robot joint angles, 1x gripper position].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})","EEF velocity
3 eef pose
3 euler angle
1 gripper action",,,,Expert Policy,,,（可以改但并不diverse),,,,
Austin VIOLA,,0,TRUE,TRUE,,,,,,,135,,,,"Templated
1. Dining-Bowl (pick up the bowl from the lazy Susan and put bowl on the plate)
2. Make-Coffee (make coffee)
3. Dining-PlateFork (arrange plate and fork)",✅,"1. Adding visual/process details for overall tasks
2. Maybe can split into sub-tasks","1. Dining-Bowl (pick up the bowl from the lazy Susan and put bowl on the plate)
2. Make-Coffee (make coffee)
3. Dining-PlateFork (arrange plate and fork)",,1,516,20,2,0,1,1,Franka,Single Arm,,"1. plate
2. bowl
3. fork
4. coffee machine","FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'gripper_closedness_action': float32,
            'rotation_delta': Tensor(shape=(3,), dtype=float32),
            'terminate_episode': float32,
            'world_vector': Tensor(shape=(3,), dtype=float32),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'agentview_rgb': Image(shape=(224, 224, 3), dtype=uint8, description=RGB captured by workspace camera),
            'ee_states': Tensor(shape=(16,), dtype=float32, description=Pose of the end effector specified as a homogenous matrix.),
            'eye_in_hand_rgb': Image(shape=(224, 224, 3), dtype=uint8, description=RGB captured by in hand camera),
            'gripper_states': Tensor(shape=(1,), dtype=float32, description=gripper_states = 0 means the gripper is fully closed. The value represents the gripper width of Franka Panda Gripper.),
            'joint_states': Tensor(shape=(7,), dtype=float32, description=joint values),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF Position,,,,Human Spacemouse,,,,,,,
CMU Franka Pick-Insert Data,,0,FALSE,FALSE,,,,,,,631,,,,"Insert greeen block.
Pick up pink block.
Pick up yellow block.
Pick up narrow blue stick.
Pick up green block.
Pick up blue block.
Pick up pink flower.",✅,modify action,"Insert
pick up",,1,230,20,2,0,1,1,Franka,Single Arm,,,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(8,), dtype=float32, description=Robot action, consists of [3x end-effector position, 4x end-effector quaternion, 1x gripper open/close].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(360, 640, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(20,), dtype=float32, description=Robot state, consists of [7x robot joint angles, 1x gripper status, 6x joint torques, 6x end-effector force].),
            'wrist_image': Image(shape=(240, 320, 3), dtype=uint8, description=Wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})","EEF Position
3 eef pose
4 eef quat
1 gripper
",,,,,,,同一个Task中episode可以分为几个比较同质化的group,,,,
NYU ROT,,0,FALSE,FALSE,,,,,,,14,,,,"Templated
- insert the peg in the cup (21.4%)
- erase the board (7.1%)
- pour the almonds into the cup (7.1%)
- hang the bag on the hook (7.1%)
- open the box (7.1%)
- hang the mug on the hook (7.1%)
- reach the blue mark on the table (7.1%)
- hang the hanger on the rod (7.1%)
- press the button (7.1%)
- close the door (7.1%)
- turn the knob (7.1%)
- stack the cups (7.1%)",✅,1. The resolution is low and very small-scale,"- insert the peg in the cup (21.4%)
- erase the board (7.1%)
- pour the almonds into the cup (7.1%)
- hang the bag on the hook (7.1%)
- open the box (7.1%)
- hang the mug on the hook (7.1%)
- reach the blue mark on the table (7.1%)
- hang the hanger on the rod (7.1%)
- press the button (7.1%)
- close the door (7.1%)
- turn the knob (7.1%)
- stack the cups (7.1%)",,1,31,3,1,0,0,1,xArm,Single Arm,,"board, almonds, cup, bag, hook, box, mug, mark, table, hanger, rod, button, door, peg, knob, cups
","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [3x robot end effector delta positions, 3x robot end effector rotations (roll, pitch, yaw),1x gripper open/close (0-open, 1-closed)].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(84, 84, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(7,), dtype=float32, description=Robot state, consists of [3x robot end effector positions, 3x robot end effector rotations (roll, pitch, yaw),1x gripper open/close (0-open, 1-closed)].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,,,,Human Joystick,,,,,,,
Stanford HYDRA,,0,TRUE,FALSE,,,,,,,550,,,,"Templated
- make a cup of coffee with the keurig machine
- make a piece of toast with the oven
- palce dishes in the dish rack",✅,1. decompose into atmoic tasks because the avg.frames is large,"make a cup of coffee with the keurig machine
make a piece of toast with the oven
palce dishes in the dish rack",,2,646,10,2,0,1,1,Franka,Single Arm,,"Oven, plate, bread, keurig machine, cup, dish, spoon, rack","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [3x EEF positional delta, 3x EEF orientation delta in euler angle, 1x close gripper].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_dense': Scalar(shape=(), dtype=bool, description=True if state is a waypoint(010) or in dense mode(x111).),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(240, 320, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(27,), dtype=float32, description=Robot state, consists of [3x EEF position,4x EEF orientation in quaternion,3x EEF orientation in euler angle,7x robot joint angles, 7x robot joint velocities,3x gripper state.),
            'wrist_image': Image(shape=(240, 320, 3), dtype=uint8, description=Wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,,,,Human VR,,,,,,,
Austin Sailor,,0,TRUE,FALSE,,,,,,,250,,,,"None
- Interact with the objects in diverse but meaningful ways (64.0%)
- Place the fish, sausage, and tomato into the frying pan (14.0%)
- Place the pan onto the stove and place the fish and sausage into the pan (12.0%)
- Place the bread, butter, and milk from the table onto the serving area (10.0%)",✅,"1. decompose the task since the episodes are very long
2. adding visual and process details
3. the resolution of this dataset is very low","- Interact with the objects in diverse but meaningful ways (64.0%) 
- Place the fish, sausage, and tomato into the frying pan (14.0%) 
- Place the pan onto the stove and place the fish and sausage into the pan (12.0%) 
- Place the bread, butter, and milk from the table onto the serving area (10.0%)",,2,"1,628",20,2,0,1,1,Franka,Single Arm,,"ways, fish, pan, bread, table, stove","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [3x ee relative pos, 3x ee relative rotation, 1x gripper action].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(128, 128, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(8,), dtype=float32, description=Default robot state, consists of [3x robot ee pos, 3x ee quat, 1x gripper state].),
            'state_ee': Tensor(shape=(16,), dtype=float32, description=End-effector state, represented as 4x4 homogeneous transformation matrix of ee pose.),
            'state_gripper': Tensor(shape=(1,), dtype=float32, description=Robot gripper opening width. Ranges between ~0 (closed) to ~0.077 (open)),
            'state_joint': Tensor(shape=(7,), dtype=float32, description=Robot 7-dof joint information (not used in original SAILOR dataset).),
            'wrist_image': Image(shape=(128, 128, 3), dtype=uint8, description=Wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=True on last step of the episode.),
    }),
})",EEF velocity,,,,Human Spacemouse,,,,,,,
Furniture Bench,,0,TRUE,FALSE,,,,,,,"5,100",,,,"Templated
- assemble cabinet (6.0%)
- assemble one_leg (52.0%)
- assemble stool (10.0%)
- assemble drawer (10.0%)
- assemble lamp (10.0%)
- assemble round_table (6.0%)
- assemble chair (4.0%)
- assemble square_table (2.0%)",✅,"1. The tasks are long-horizon tasks with high variance of duration, so we need to decompose into fine-grained thoughts and actions
2. The trajectoies under the same task seem to have the same process","- assemble cabinet (6.0%)
- assemble one_leg (52.0%)
- assemble stool (10.0%)
- assemble drawer (10.0%)
- assemble lamp (10.0%)
- assemble round_table (6.0%)
- assemble chair (4.0%)
- assemble square_table (2.0%)",,1,710,10,2,0,1,1,Franka,Single Arm,,"cabinet, stool, drawer, lamp, chair, table","action: shape=(8,), <dtype: 'float32'>
discount: shape=(), <dtype: 'float32'>
is_first: shape=(), <dtype: 'bool'>
is_last: shape=(), <dtype: 'bool'>
is_terminal: shape=(), <dtype: 'bool'>
language_embedding: shape=(512,), <dtype: 'float32'>
language_instruction: shape=(), <dtype: 'string'>
observation: (dict)
    image: shape=(224, 224, 3), <dtype: 'uint8'>
    state: shape=(35,), <dtype: 'float32'>
    wrist_image: shape=(224, 224, 3), <dtype: 'uint8'>
reward: shape=(), <dtype: 'float32'>
skill_completion: shape=(), <dtype: 'float32'>",EEF velocity,,,,Human VR,,,,,,,
UCSD Pick Place,,0,FALSE,FALSE,,,,,,,"1,355",,,,"Templated
- pick up the red object from the table (96.0%)
- place the pot in the sink (4.0%)",✅,"1. The quality is not high because it is not teleoperation
2. only simple pick-and-place","- pick up the red object from the table (525 successed)
- place the pot in the sink (44 successes)",,2,,3,1,0,0,1,xArm,Single Arm,,"table, pot, sink","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'disclaimer': Text(shape=(), dtype=string),
        'file_path': Text(shape=(), dtype=string),
        'n_transitions': Scalar(shape=(), dtype=int32, description=Number of transitions in the episode.),
        'success': Scalar(shape=(), dtype=bool, description=True if the last state of an episode is a success state, False otherwise.),
        'success_labeled_by': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(4,), dtype=float32, description=Robot action, consists of [3x gripper velocities,1x gripper open/close torque].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(224, 224, 3), dtype=uint8, description=Camera RGB observation.),
            'state': Tensor(shape=(7,), dtype=float32, description=Robot state, consists of [3x gripper position,3x gripper orientation, 1x finger distance].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF velocity,,,,Expert Policy,,,,,,,
Tokyo PR2 Tabletop Manipulation,,0,FALSE,FALSE,,,,,,,192,,,,"None
- picking a bread (38.0%)
- folding a cloth (34.0%)
- picking a grape (28.0%)",✅,"The difference between trajectoires lies in:
- grasp point
- final state","- picking a bread (38.0%)
- folding a cloth (34.0%)
- picking a grape (28.0%)",,1,136,10,1,0,0,1,PR2,Single Arm,,"cloth, bread, grape","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(8,), dtype=float32, description=Robot action, consists of [3x end effector pos, 3x robot rpy angles, 1x gripper open/close command, 1x terminal action].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(128, 128, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(7,), dtype=float32, description=Robot state, consists of [3x end effector pos, 3x robot rpy angles, 1x gripper position].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,,,,Human VR,,,,,,,
UTokyo xArm Bimanual,,0,FALSE,FALSE,,,,,,,70,,,,"None
- Reach a towel (50.0%)
- Unfold a wrinkled towel (50.0%)",✅,"The difference lies in the unfolding task, but overall trajectoires are very similar","- Reach a towel (50.0%)
- Unfold a wrinkled towel (50.0%)",,1,24,10,1,0,0,1,xArm Bimanual,Bi-Manual,,towel,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(14,), dtype=float32, description=Robot action, consists of [3x EEF position (L), 3x EEF orientation yaw/pitch/roll (L), 1x gripper open/close position (L), 3x EEF position (R), 3x EEF orientation yaw/pitch/roll (R), 1x gripper open/close position (R)].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'action_l': Tensor(shape=(7,), dtype=float32, description=Left robot action, consists of [3x EEF position, 3x EEF orientation yaw/pitch/roll].),
            'action_r': Tensor(shape=(7,), dtype=float32, description=Right robot action, consists of [3x EEF position, 3x EEF orientation yaw/pitch/roll, 1x gripper open/close position].),
            'image': Image(shape=(256, 256, 3), dtype=uint8, description=Main camera RGB observation.),
            'pose_l': Tensor(shape=(6,), dtype=float32, description=Left robot end effector pose, consists of [3x EEF position, 3x EEF orientation yaw/pitch/roll].),
            'pose_r': Tensor(shape=(6,), dtype=float32, description=Right robot end effector pose, consists of [3x EEF position, 3x EEF orientation yaw/pitch/roll].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,,,,Human Puppeteering,,,,,,,
DLR Sara Pour Dataset,,0,FALSE,,,,,,,,100,,,,Pour into the mug,✅,modify action,Pour into the mug,,1,130,10,1,0,0,1,DLR SARA,Single Arm,,Household objects,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [3x robot EEF position, 3x robot EEF orientation yaw/pitch/roll calculated with scipy Rotation.as_euler(=""zxy"") Class].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(480, 640, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(6,), dtype=float32, description=Robot state, consists of [3x robot EEF position, 3x robot EEF orientation yaw/pitch/roll calculated with scipy Rotation.as_euler(=""zxy"") Class].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})","EEF velocity
3 eef pose
3 euler angle
1 gripper action",,,,Expert Policy,,,"（可以改并不diverse,感觉人已经改完了）",,,,
Imperial Wrist Cam,,0,FALSE,,,,,,,,170,,,,"put apple in pot 
open lid 
pick up apple 
open bottle 
pick up kettle 
hang cup 
swipe 
grasp can 
pour in mug 
pick up mug 
insert cap in bottle 
pick up pan 
put cup in dishwasher 
insert toast 
stack bowls 
pick up bottle 
pick up shoe ",✅,modify action,"put
open
pick up
hang
swipe
grasp
pour
insert
stack",,1,43,10,1,0,1,0,Sawyer,Single Arm,,kitchen household,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(8,), dtype=float32, description=Robot action, consists of 3x delta position in EEF frame, 3x delta ZYX euler angles, 1x gripper open/close, 1x terminate episode.),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(64, 64, 3), dtype=uint8, description=Main camera RGB observation (same as wrist in our case).),
            'state': Tensor(shape=(1,), dtype=float32, description=Gripper state (opened or closed)),
            'wrist_image': Image(shape=(64, 64, 3), dtype=uint8, description=Wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})","EEF Position
3 eef delta pose
3 zyx euler angles
1 gripper
1 terminate episode",,,,Human Kinesthetic,,,,,,,
"NYU VINN
",,0,FALSE,FALSE,,,,,,,435,,,,"None
- Only open door","✅
","1. Maybe add some details about left/right handler
2. Maybe filter repetition in the same scene
3. Action space is wrong in OXE (EEF velocity instead of position)",Only open door,,NA,41,3,1,0,1,0,Hello Stretch,Mobile Manipulator,,canbinets with doors,"FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'gripper_closedness_action': Tensor(shape=(1,), dtype=float32),
            'rotation_delta': Tensor(shape=(3,), dtype=float32, description=Angular velocity around x, y and z axis.),
            'terminate_episode': float32,
            'world_vector': Tensor(shape=(3,), dtype=float32, description=Velocity in XYZ.),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'image': Image(shape=(720, 960, 3), dtype=uint8),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF velocity,,,,Human Kinesthetic,,,,,,,
Berkeley Autolab UR5,,0,TRUE,FALSE,,,,,,,896,,,,"Templated
1. Take the tiger out of the red bowl and put it in the grey bowl.
2. Sweep the green cloth to the left side of the table.
3. Pick up the blue cup and put it into the brown cup.
4. Put the ranch bottle into the pot.",✅,Adding some details for the specific action,"1. Take the tiger out of the red bowl and put it in the grey bowl.
2. Sweep the green cloth to the left side of the table.
3. Pick up the blue cup and put it into the brown cup.
4. Put the ranch bottle into the pot.",,1,95,5,2,1,1,1,UR5,Single Arm,,"tiger, red bowl, grey bowl, green cloth, blue cup, brown cup, ranch bottle ,pot","FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'gripper_closedness_action': float32,
            'rotation_delta': Tensor(shape=(3,), dtype=float32, description=Delta change in roll, pitch, yaw.),
            'terminate_episode': float32,
            'world_vector': Tensor(shape=(3,), dtype=float32, description=Delta change in XYZ.),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'hand_image': Image(shape=(480, 640, 3), dtype=uint8),
            'image': Image(shape=(480, 640, 3), dtype=uint8),
            'image_with_depth': Image(shape=(480, 640, 1), dtype=float32),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
            'robot_state': Tensor(shape=(15,), dtype=float32, description=Explanation of the robot state can be found at https://sites.google.com/corp/view/berkeley-ur5),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF Position,,,,Human Spacemouse,,,,,,,
TOTO Benchmark,,0,TRUE,FALSE,,,,,,,901,,,,"Templated
1. pour the material into a target cup on the table
2. scoop material from the bowl into the spoon (not in OXE?)",✅,"1. Seems that only pour task is in OXE
2. Adding details","1. pour the material into a target cup on the table
2. scoop material from the bowl into the spoon (not in OXE?)",,1,312,30,1,0,0,1,"Franka

(joint pos)",Single Arm,,"Cup, containers, materials","FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'open_gripper': bool,
            'rotation_delta': Tensor(shape=(3,), dtype=float32),
            'terminate_episode': float32,
            'world_vector': Tensor(shape=(3,), dtype=float32),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'image': Image(shape=(480, 640, 3), dtype=uint8),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
            'state': Tensor(shape=(7,), dtype=float32, description=numpy array of shape (7,). Contains the robot joint states (as absolute joint angles) at each timestep),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",Joint position,,,,"Human teleoperation -- VR Teleop, trained state-based BC policies, and trajectory replay with noise",,,,,,,
